Days,Miles,Receipts,Reimb,R-R,
9,483,52.64,949.04,896.4,
12,296,326.83,981.72,654.89,
9,131,1990,1557.2,-432.8,
6,836,2035.17,1718.79,-316.38,
10,532,1223.36,1631.49,408.13,
14,595,2140.61,1989.13,-151.48,
7,623,1894.02,1739.49,-154.53,
5,1077,2234.35,1665.23,-569.12,
5,579,1018.52,1468.01,449.49,
8,255,1817.19,1510.91,-306.28,
8,1009,1378.07,1903.76,525.69,
10,87,498.96,781.97,283.01,
1,809,1734.56,1447.25,-287.31,
9,1079,1981.94,1763.16,-218.78,
8,1134,1049.84,2073.13,1023.29,
8,403,654.97,895.14,240.17,
8,534,429.88,916.02,486.14,
13,564,2245.56,1745.09,-500.47,
2,752,958.29,1144.41,186.12,
11,293,1410,1673.7,263.7,
5,919,470.23,1119.17,648.94,
5,103,333.22,573.58,240.36,
1,893,19.76,570.71,550.95,
12,37,52.65,789.01,736.36,
8,1142,776.74,1827.44,1050.7,
5,332,218.03,801.73,583.7,
7,950,1739.62,2032.23,292.61,
9,223,1916.03,1623.73,-292.3,
6,522,1210.87,1577.01,366.14,
12,46,2077.07,1666.29,-410.78,
2,252,1545.94,1300.19,-245.75,
14,999,619.42,1510.57,891.15,
13,125,2004.61,1721.56,-283.05,
9,597,625.99,990.84,364.85,
3,289,853.79,969.85,116.06,
7,953,1918.24,1833.56,-84.68,
4,275,2359.64,1483.58,-876.06,
5,755,1584.41,1729.08,144.67,
9,803,880.17,1589.75,709.58,
11,293,285.14,966.87,681.73,
6,164,1460.21,1535.3,75.09,
12,675,2277.93,1807.33,-470.6,
11,859,146.71,1267.98,1121.27,
2,296,1878.7,1354,-524.7,
7,300,2417.85,1634.04,-783.81,
2,1155,1517.18,1543.17,25.99,
5,765,480.48,1038.42,557.94,
9,1097,2330.2,1728.07,-602.13,
4,422,2049.71,1491.9,-557.81,
14,1020,510.33,1406.95,896.62,
4,205,545.57,682.22,136.65,
12,1046,1850.85,1875.72,24.87,
4,1001,739.08,1116.31,377.23,
9,938,742.17,1632.1,889.93,
5,351,407.74,883.11,475.37,
9,748,653.42,1249.66,596.24,
13,1186,2462.26,1906.35,-555.91,
6,384,1656.04,1682.33,26.29,
10,150,418.41,844.9,426.49,
10,783,158.93,993.55,834.62,
6,372,2494.69,1742.34,-752.35,
10,958,1643.76,1827.18,183.42,
8,34,1225.2,1438.52,213.32,
7,151,2461.93,1516.58,-945.35,
7,150,1379.35,1500.09,120.74,
6,751,2085.98,1757.81,-328.17,
7,568,159.12,738.92,579.8,
12,574,2240.9,1785.72,-455.18,
13,36,808.38,1190.16,381.78,
14,595,1818.77,1889.9,71.13,
7,381,2342.27,1705.24,-637.03,
14,174,815.3,1295.14,479.84,
11,226,2013.45,1590.82,-422.63,
13,137,1505.66,1777.72,272.06,
13,774,206.45,1110,903.55,
5,1120,1514.91,1658.97,144.06,
4,862,2335.55,1698.94,-636.61,
8,829,1147.89,2004.34,856.45,
4,380,446.66,764.24,317.58,
9,238,1197.83,1560.78,362.95,
13,1199,493,1634.13,1141.13,
12,710,1249.41,1921.09,671.68,
14,719,1973.14,1980.99,7.85,
1,482,1697.08,1198.24,-498.84,
9,444,725.31,1062.52,337.21,
11,610,1990.79,1753.56,-237.23,
4,238,1707.28,1483.48,-223.8,
2,299,1612.7,1282.8,-329.9,
10,273,799.9,1155.05,355.15,
3,154,274.04,406.91,132.87,
7,636,697.02,1276.06,579.04,
2,1038,685.07,962.14,277.07,
2,798,2334.41,1485.4,-849.01,
12,601,2166.56,1918.46,-248.1,
6,290,814.04,1077.35,263.31,
8,16,259.02,543.56,284.54,
8,303,1072.44,1453.25,380.81,
11,372,2048.26,1632.61,-415.65,
3,864,2338.52,1513.04,-825.48,
11,913,2253.41,1758.56,-494.85,
14,805,834.06,1683.49,849.43,
5,905,2317.31,1691.38,-625.93,
10,728,226.53,1060.47,833.94,
4,842,893.25,1324.64,431.39,
5,117,953.06,1116.8,163.74,
12,307,957.17,1432.75,475.58,
9,51,314.81,704.94,390.13,
7,1071,841.11,1699.9,858.79,
13,922,1510.22,1967.87,457.65,
8,867,2373.39,1747.22,-626.17,
11,1013,1483.3,1952.8,469.5,
6,1148,1525.81,1776.48,250.67,
12,158,2195.67,1625.46,-570.21,
5,1010,2054.21,1810.37,-243.84,
1,682,1517.04,1376.04,-141,
5,14,78.33,406.7,328.37,
6,1203,1900.48,1972.88,72.4,
4,810,1852.31,1575.87,-276.44,
3,760,2073.25,1522.45,-550.8,
7,868,625.09,1403.48,778.39,
7,205,103.31,683.1,579.79,
5,387,1882.35,1588.8,-293.55,
11,447,130.07,852.02,721.95,
9,482,1348.44,1633.26,284.82,
7,15,2436.67,1459.63,-977.04,
10,955,1182.33,1950.3,767.97,
5,41,2314.68,1500.28,-814.4,
2,1189,1164.74,1666.52,501.78,
2,762,519.74,752.69,232.95,
10,895,937.46,1714.8,777.34,
13,858,2258.01,1889.71,-368.3,
11,650,524.8,1179.09,654.29,
4,198,2106.63,1450.67,-655.96,
1,791,1927.75,1419.88,-507.87,
14,1020,1201.75,2337.73,1135.98,
12,59,2247.39,1629.92,-617.47,
8,626,545.84,1142.89,597.05,
5,57,559.05,639.73,80.68,
5,908,716.7,1375.88,659.18,
13,8,78.44,713.71,635.27,
11,684,672.51,1487.93,815.42,
4,180,2365.46,1443.02,-922.44,
13,511,1628.33,1915.79,287.46,
4,231,20.39,499.26,478.87,
9,1139,1973.31,1759.33,-213.98,
9,578,1167.71,1587.21,419.5,
14,530,2028.06,2079.14,51.08,
7,316,141.89,837.8,695.91,
2,897,2382.39,1437.95,-944.44,
12,121,608.92,1033.44,424.52,
4,764,1417.94,1682.1,264.16,
11,663,2141.08,1715.29,-425.79,
3,91,1640.15,1338.3,-301.85,
1,1035,1289.84,1317.33,27.49,
7,125,193.62,616.24,422.62,
12,437,639.96,1183.74,543.78,
4,84,2243.12,1392.1,-851.02,
5,716,1316.6,1686.98,370.38,
12,18,2461.37,1556.78,-904.59,
3,560,1664.15,1419.48,-244.67,
3,504,63.39,568.17,504.78,
5,1126,664.9,1336.74,671.84,
1,1092,390.55,589.11,198.56,
11,273,502.37,862.61,360.24,
4,6,458.7,459.21,0.51,
1,620,490.45,678.74,188.29,
5,659,2083.15,1645.06,-438.09,
12,353,2150.17,1765.67,-384.5,
13,618,1982.27,2000.39,18.12,
2,1158,2355.92,1528.91,-827.01,
3,512,1251.6,1360.76,109.16,
5,840,941.55,1676.48,734.93,
7,1086,2319.81,1858.36,-461.45,
13,1152,864.45,1797.14,932.69,
4,840,1375.42,1580.95,205.53,
4,724,89.99,667.98,577.99,
3,327,2141.92,1438.41,-703.51,
13,1055,2005.84,1997.52,-8.32,
1,931,327.97,609.73,281.76,
10,108,2181.67,1632.42,-549.25,
13,1204,24.47,1344.17,1319.7,
5,517,919.25,1288.31,369.06,
8,897,1536.36,1944.62,408.26,
12,988,2492.79,1753.84,-738.95,
1,1041,1630.25,1466.95,-163.3,
10,454,2359.42,1619,-740.42,
5,406,1084.16,1399.39,315.23,
4,103,1790.07,1394.55,-395.52,
11,198,269.95,695.66,425.71,
4,477,18.97,631.5,612.53,
11,67,2455.53,1572.91,-882.62,
7,789,185.73,966.26,780.53,
13,70,993.7,1492.02,498.32,
12,59,858.62,1377.35,518.73,
3,1027,180,804.96,624.96,
3,275,543.74,572.73,28.99,
12,180,384.42,873.97,489.55,
3,334,2449.89,1472.53,-977.36,
7,759,1694.02,1960.92,266.9,
10,174,1991.96,1542.4,-449.56,
1,780,366.37,516.69,150.32,
9,934,415.5,1208.82,793.32,
8,936,556.28,1277.26,720.98,
1,1002,2320.13,1475.4,-844.73,
7,83,137.84,482.65,344.81,
9,191,789.52,1058.5,268.98,
3,280,1090.37,1256.92,166.55,
5,644,2383.17,1785.53,-597.64,
10,498,992.86,1395.03,402.17,
4,317,1793.28,1518.93,-274.35,
4,1100,370.61,860.32,489.71,
4,263,2469.06,1503.98,-965.08,
4,932,1287.34,1513.28,225.94,
14,343,2013.4,1839.05,-174.35,
2,274,888.24,917.79,29.55,
1,759,330.29,500.92,170.63,
8,204,2178.45,1506.38,-672.07,
10,396,2068.65,1556.68,-511.97,
6,840,870.82,1496.46,625.64,
7,756,1473.59,1961.96,488.37,
4,1048,279.75,780.15,500.4,
9,800,39.96,1158.68,1118.72,
3,240,1895.67,1386.33,-509.34,
13,997,920.48,2124.16,1203.68,
2,826,2163.39,1523.26,-640.13,
6,194,914.25,1168.72,254.47,
4,333,1934.76,1467.52,-467.24,
8,1053,1864.01,1794.57,-69.44,
12,466,1291.33,1770.37,479.04,
8,916,2417.62,1755.05,-662.57,
11,322,1251.3,1732.46,481.16,
13,11,1114.96,1555.48,440.52,
7,250,364.79,718.71,353.92,
5,247,296.51,594.93,298.42,
14,1158,2104.61,1899.69,-204.92,
11,1095,1071.83,2159.33,1087.5,
11,1149,270.81,1284.51,1013.7,
9,14,1057.38,1372.31,314.93,
4,184,983.77,1202.69,218.92,
6,135,2488.22,1561.2,-927.02,
5,717,1508.97,1722.49,213.52,
1,389,1964.96,1228.94,-736.02,
3,1136,1296.54,1536.6,240.06,
13,145,2202.42,1716.13,-486.29,
1,1122,861.5,1081.05,219.55,
14,383,97.95,1203.93,1105.98,
1,309,1211.37,1110.55,-100.82,
14,1090,2248.68,1905.5,-343.18,
3,278,994.9,1167.78,172.88,
7,1109,2397.29,1917.57,-479.72,
12,643,2194.16,1758.03,-436.13,
11,176,1050.67,1444.13,393.46,
7,309,1021.75,1309.85,288.1,
3,992,1897.41,1539,-358.41,
3,175,440.19,431.17,-9.02,
5,895,2329.69,1791.96,-537.73,
8,372,348.37,950.24,601.87,
5,567,193.11,718.3,525.19,
8,978,710.43,1624.58,914.15,
1,1082,1809.49,446.94,-1362.55,
11,636,2238.97,1699.94,-539.03,
6,370,315.09,946.39,631.3,
8,413,222.83,802.95,580.12,
3,399,141.39,546.04,404.65,
,,,,,
Days,Miles,Receipts,Reimb,R-R,
1,5,1.42,117.24,-1999.49,Min
14,1317.07,2503.46,2337.73,1519.19,Max
7.043,597.41374,1211.05687,1349.11403,138.05716,Average
7,621,1171.9,1454.26,233.585,Median
